R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
Israel Adesanya,Joe Pyfer,-130.0,102.0,76.9231,102.0,2026-03-28,"Seattle, Washington, USA",USA,Blue,False,Middleweight,MALE,5,0,3,0,3.52,0.44,0.9,1.45,0.3,4,2,18,0,0,0,1,4,2,0,7,Orthodox,187.96,190.5,185.0,3,0,0,4.03,0.48,0.1,0.05,0.09,9,5,66,12,0,1,7,5,0,0,13,Switch,193.04,203.2,185.0,36,29,-3,3,-5,-6,-3,-48,-12,-1,2,-5.08,-12.7,-7,-0.51,0.8,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punches,2.0,4:18,558.0,163.0,900.0,2500.0,400.0,300.0,250.0
Alexa Grasso,Maycee Barber,124.0,-158.0,124.0,63.2911,2026-03-28,"Seattle, Washington, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,7,0,4.56,0.53,0.1,1.56,0.45,7,2,34,0,0,2,4,5,0,0,11,Switch,165.1,165.1,125.0,2,0,1,4.11,0.41,0.7,0.4,0.35,5,5,45,3,0,1,5,0,2,0,8,Orthodox,165.1,167.64,125.0,32,27,-2,7,2,3,-3,-11,-3,5,-2,0.0,-2.54,-5,0.45,-0.6,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punch,1.0,2:42,162.0,175.0,105.0,1400.0,800.0,2500.0,500.0
Michael Chiesa,Niko Price,-901.0,550.0,11.0988,550.0,2026-03-28,"Seattle, Washington, USA",USA,Red,False,Welterweight,MALE,3,3,0,0,5.11,0.43,0.6,1.06,0.3,2,10,40,0,0,0,2,4,2,0,8,Orthodox,182.88,193.04,170.0,0,3,0,2.02,0.4,1.0,3.11,0.47,4,7,47,1,0,0,6,0,8,0,14,Southpaw,185.42,190.5,170.0,38,36,3,-3,-2,-6,3,-7,-1,4,-6,-2.54,2.54,-2,3.09,-0.4,-2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB,Rear Naked Choke,1.0,1:03,63.0,225.0,900.0,-150.0,1600.0,600.0,1000.0
Julian Erosa,Lerryan Douglas,235.0,-320.0,235.0,31.25,2026-03-28,"Seattle, Washington, USA",USA,Blue,False,Featherweight,MALE,3,0,1,0,8.67,0.64,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,175.26,182.88,145.0,1,0,0,6.18,0.48,0.7,1.73,0.43,3,8,36,0,0,2,1,3,4,0,10,Southpaw,185.42,187.96,145.0,36,30,-1,1,-2,-9,-8,-35,0,-2,-4,-10.16,-5.08,-6,2.49,-0.7,-1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punches,1.0,3:33,213.0,600.0,500.0,600.0,2000.0,700.0,-150.0
Mansur Abdul-Malik,Yousri Belgaroui,-158.0,124.0,63.2911,124.0,2026-03-28,"Seattle, Washington, USA",USA,Blue,False,Middleweight,MALE,3,0,2,0,6.1,0.64,0.0,0.29,1.0,2,1,9,0,0,0,0,2,0,0,2,Orthodox,198.12,200.66,185.0,0,4,1,3.28,0.44,0.3,1.65,0.41,3,0,9,0,0,0,0,3,1,0,4,Orthodox,187.96,203.2,185.0,28,33,0,-2,-1,-2,1,0,0,-1,-1,10.16,-2.54,5,2.82,-0.3,-1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Knee,3.0,3:39,819.0,350.0,240.0,800.0,1800.0,240.0,250.0
Terrance McKinney,Kyle Nelson,-150.0,118.0,66.6667,118.0,2026-03-28,"Seattle, Washington, USA",USA,Red,False,Lightweight,MALE,3,0,1,1,3.6,0.45,0.5,1.18,0.23,3,5,26,0,0,0,3,2,0,0,5,Switch,180.34,180.34,155.0,1,0,0,6.53,0.55,2.1,3.31,0.4,2,6,16,0,0,0,0,4,3,0,7,Switch,177.8,185.42,155.0,31,34,-1,1,1,-2,-1,10,0,-2,-3,2.54,-5.08,3,-2.93,-1.6,-2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punches,1.0,0:24,24.0,1400.0,900.0,225.0,700.0,175.0,250.0
Ignacio Bahamondes,Tofiq Musayev,-295.0,220.0,33.8983,220.0,2026-03-28,"Seattle, Washington, USA",USA,Blue,False,Lightweight,MALE,3,1,0,0,1.84,0.46,0.0,2.3,0.6,0,1,1,0,0,0,0,0,0,0,0,Orthodox,175.26,175.26,155.0,1,0,0,5.99,0.46,0.6,0.0,0.0,3,3,23,0,0,0,1,4,2,0,7,Orthodox,190.5,190.5,155.0,28,36,0,0,-3,-7,-2,-22,0,-4,-2,-15.24,-15.24,8,-4.15,-0.6,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,240.0,600.0,1900.0,9000.0,1050.0,2200.0
Chase Hooper,Lance Gibson Jr.,-280.0,210.0,35.7143,210.0,2026-03-28,"Seattle, Washington, USA",USA,Blue,False,Lightweight,MALE,3,1,0,0,2.4,0.45,0.0,1.67,0.66,0,1,3,0,0,0,0,0,0,0,0,Switch,175.26,182.88,155.0,1,0,0,4.5,0.49,2.1,2.43,0.32,5,4,28,0,0,0,3,2,4,0,9,Southpaw,185.42,187.96,155.0,26,31,0,0,-5,-9,-3,-25,0,-2,-4,-10.16,-5.08,5,-2.1,-2.1,-0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Knees,1.0,2:56,176.0,200.0,450.0,1050.0,7500.0,2000.0,2500.0
Marcin Tybura,Tyrell Fortune,-104.0,-122.0,96.1538,81.9672,2026-03-28,"Seattle, Washington, USA",USA,Blue,False,Heavyweight,MALE,3,0,0,0,2.0,0.5,0.0,3.0,0.6,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,259.0,1,0,0,3.56,0.48,0.1,1.3,0.33,5,9,55,0,1,0,7,5,1,0,14,Orthodox,190.5,198.12,249.0,40,35,-1,0,-5,-14,-9,-55,0,-5,-1,-7.62,-7.62,-5,-1.56,-0.1,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,450.0,500.0,1800.0,3500.0,2500.0,850.0
Casey O'Neill,Gabriella Fernandes,-113.0,-113.0,88.4956,88.4956,2026-03-28,"Seattle, Washington, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,3,0,3.51,0.46,0.2,0.42,0.18,3,2,14,0,0,1,1,0,1,0,3,Southpaw,167.64,167.64,125.0,0,1,0,7.89,0.52,0.7,1.4,0.34,4,2,18,0,0,1,1,2,1,0,5,Orthodox,167.64,175.26,125.0,28,32,0,2,-1,-2,0,-4,0,-2,0,0.0,-7.62,4,-4.38,-0.5,-0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punches,1.0,3:11,191.0,175.0,150.0,2000.0,4000.0,2000.0,2000.0
